data,descricao,categoria,tipo,valor
2026-04-01,Salario,Receita,entrada,6800.00
2026-04-02,Aluguel,Moradia,saida,1800.00
2026-04-03,Supermercado,Alimentacao,saida,620.35
2026-04-04,Internet,Servicos,saida,119.90
2026-04-05,Academia,Saude,saida,129.90
2026-04-06,Aplicacao Tesouro Selic,Investimentos,saida,700.00
2026-04-08,Transporte por app,Transporte,saida,96.40
2026-04-10,Restaurante,Lazer,saida,210.00
2026-04-11,Farmacia,Saude,saida,87.25
2026-04-12,Streaming,Lazer,saida,55.80
2026-04-15,Freelance,Receita,entrada,1200.00
2026-04-16,Supermercado,Alimentacao,saida,575.90
2026-04-18,Cartao de credito,Dividas,saida,980.70
2026-04-20,Curso online,Educacao,saida,189.90
2026-04-22,Transferencia reserva,Investimentos,saida,500.00
2026-04-25,Restaurante,Lazer,saida,168.30
2026-04-27,Conta de luz,Servicos,saida,212.45
2026-04-28,Transporte publico,Transporte,saida,88.00
2026-04-29,Compra eletronico,Compras,saida,760.00
2026-04-30,Rendimento CDB,Receita,entrada,46.20
